"gs_name","gene_symbol"
"HP_PULMONARY_FIBROSIS","HPS6"
"HP_PULMONARY_FIBROSIS","IL1RN"
"HP_PULMONARY_FIBROSIS","IRF5"
"HP_PULMONARY_FIBROSIS","KIAA0319L"
"HP_PULMONARY_FIBROSIS","MARS1"
"HP_PULMONARY_FIBROSIS","MRPS22"
"HP_PULMONARY_FIBROSIS","MSH4"
"HP_PULMONARY_FIBROSIS","MUC5B"
"HP_PULMONARY_FIBROSIS","NAF1"
"HP_PULMONARY_FIBROSIS","NDUFAF6"
"HP_PULMONARY_FIBROSIS","NHLRC2"
"HP_PULMONARY_FIBROSIS","NHP2"
"HP_PULMONARY_FIBROSIS","NKX2-1"
"HP_PULMONARY_FIBROSIS","NOP10"
"HP_PULMONARY_FIBROSIS","NPC2"
"HP_PULMONARY_FIBROSIS","NR5A1"
"HP_PULMONARY_FIBROSIS","NUP107"
"HP_PULMONARY_FIBROSIS","PARN"
"HP_PULMONARY_FIBROSIS","PLEC"
"HP_PULMONARY_FIBROSIS","POLR3H"
"HP_PULMONARY_FIBROSIS","POT1"
"HP_PULMONARY_FIBROSIS","PRTN3"
"HP_PULMONARY_FIBROSIS","PSMC3IP"
"HP_PULMONARY_FIBROSIS","PTPN22"
"HP_PULMONARY_FIBROSIS","RAC2"
"HP_PULMONARY_FIBROSIS","RCBTB1"
"HP_PULMONARY_FIBROSIS","RNF168"
"HP_PULMONARY_FIBROSIS","RPA1"
"HP_PULMONARY_FIBROSIS","RTEL1"
"HP_PULMONARY_FIBROSIS","SFTPA1"
"HP_PULMONARY_FIBROSIS","SFTPA2"
"HP_PULMONARY_FIBROSIS","SFTPC"
"HP_PULMONARY_FIBROSIS","SLC34A1"
"HP_PULMONARY_FIBROSIS","SLC34A2"
"HP_PULMONARY_FIBROSIS","SLC7A7"
"HP_PULMONARY_FIBROSIS","SP110"
"HP_PULMONARY_FIBROSIS","SPIDR"
"HP_PULMONARY_FIBROSIS","STING1"
"HP_PULMONARY_FIBROSIS","STN1"
"HP_PULMONARY_FIBROSIS","TERC"
"HP_PULMONARY_FIBROSIS","TERT"
"HP_PULMONARY_FIBROSIS","THOC2"
"HP_PULMONARY_FIBROSIS","TINF2"
"HP_PULMONARY_FIBROSIS","TOM1"
"HP_PULMONARY_FIBROSIS","TP53"
"HP_PULMONARY_FIBROSIS","ZCCHC8"
"HP_PULMONARY_FIBROSIS","ZSWIM7"
"HP_RENAL_FIBROSIS","ACP5"
"HP_RENAL_FIBROSIS","ANTXR1"
"HP_RENAL_FIBROSIS","ARL3"
"HP_RENAL_FIBROSIS","BSND"
"HP_RENAL_FIBROSIS","CLCN5"
"HP_RENAL_FIBROSIS","GBE1"
"HP_RENAL_FIBROSIS","MUC1"
"HP_RENAL_FIBROSIS","NDUFAF6"
"HP_RENAL_FIBROSIS","NPHP1"
"HP_RENAL_FIBROSIS","NPHP3"
"HP_RENAL_FIBROSIS","NPHP4"
"HP_RENAL_FIBROSIS","PKHD1"
"HP_RENAL_FIBROSIS","PTPRO"
"HP_RENAL_FIBROSIS","REN"
"HP_RENAL_FIBROSIS","SLC37A4"
"HP_RENAL_FIBROSIS","SLC7A7"
"HP_RENAL_INTERSTITIAL_FIBROSIS","ALG5"
"HP_RENAL_INTERSTITIAL_FIBROSIS","APOA4"
"HP_RENAL_INTERSTITIAL_FIBROSIS","DCDC2"
"HP_RENAL_INTERSTITIAL_FIBROSIS","FAN1"
"HP_RENAL_INTERSTITIAL_FIBROSIS","PSKH1"
"HP_RENAL_INTERSTITIAL_FIBROSIS","RPGRIP1L"
"HP_RENAL_INTERSTITIAL_FIBROSIS","TULP3"
"HP_RENAL_INTERSTITIAL_FIBROSIS","UMOD"
"HP_RENAL_INTERSTITIAL_FIBROSIS","WDR19"
"WP_LUNG_FIBROSIS","ATP11A"
"WP_LUNG_FIBROSIS","BMP7"
"WP_LUNG_FIBROSIS","CALCA"
"WP_LUNG_FIBROSIS","CCL11"
"WP_LUNG_FIBROSIS","CCL2"
"WP_LUNG_FIBROSIS","CCL3"
"WP_LUNG_FIBROSIS","CCL4"
"WP_LUNG_FIBROSIS","CCL5"
"WP_LUNG_FIBROSIS","CCN2"
"WP_LUNG_FIBROSIS","CCR2"
"WP_LUNG_FIBROSIS","CCR3"
"WP_LUNG_FIBROSIS","CEBPB"
"WP_LUNG_FIBROSIS","CMA1"
"WP_LUNG_FIBROSIS","CSF2"
"WP_LUNG_FIBROSIS","CSF3"
"WP_LUNG_FIBROSIS","CXCL2"
"WP_LUNG_FIBROSIS","CXCL8"
"WP_LUNG_FIBROSIS","CYSLTR2"
"WP_LUNG_FIBROSIS","DPP9"
"WP_LUNG_FIBROSIS","DSP"
"WP_LUNG_FIBROSIS","EDN1"
"WP_LUNG_FIBROSIS","EGF"
"WP_LUNG_FIBROSIS","ELMOD2"
"WP_LUNG_FIBROSIS","ELN"
"WP_LUNG_FIBROSIS","FAM13A"
"WP_LUNG_FIBROSIS","FGF1"
"WP_LUNG_FIBROSIS","FGF2"
"WP_LUNG_FIBROSIS","FGF7"
"WP_LUNG_FIBROSIS","GREM1"
"WP_LUNG_FIBROSIS","HGF"
"WP_LUNG_FIBROSIS","HMOX1"
"WP_LUNG_FIBROSIS","IGF1"
"WP_LUNG_FIBROSIS","IL12B"
"WP_LUNG_FIBROSIS","IL13"
"WP_LUNG_FIBROSIS","IL1B"
"WP_LUNG_FIBROSIS","IL4"
"WP_LUNG_FIBROSIS","IL5"
"WP_LUNG_FIBROSIS","IL6"
"WP_LUNG_FIBROSIS","MECP2"
"WP_LUNG_FIBROSIS","MMP2"
"WP_LUNG_FIBROSIS","MMP9"
"WP_LUNG_FIBROSIS","MT2A"
"WP_LUNG_FIBROSIS","MUC5B"
"WP_LUNG_FIBROSIS","NFE2L2"
"WP_LUNG_FIBROSIS","PARN"
"WP_LUNG_FIBROSIS","PDGFA"
"WP_LUNG_FIBROSIS","PDGFB"
"WP_LUNG_FIBROSIS","PLAU"
"WP_LUNG_FIBROSIS","PTX3"
"WP_LUNG_FIBROSIS","RTEL1"
"WP_LUNG_FIBROSIS","SERPINA1"
"WP_LUNG_FIBROSIS","SFTPA1"
"WP_LUNG_FIBROSIS","SFTPA2"
"WP_LUNG_FIBROSIS","SFTPC"
"WP_LUNG_FIBROSIS","SKIL"
"WP_LUNG_FIBROSIS","SMAD7"
"WP_LUNG_FIBROSIS","SPP1"
"WP_LUNG_FIBROSIS","STN1"
"WP_LUNG_FIBROSIS","TERT"
"WP_LUNG_FIBROSIS","TGFA"
"WP_LUNG_FIBROSIS","TGFB1"
"WP_LUNG_FIBROSIS","TIMP1"
"WP_LUNG_FIBROSIS","TNF"
"WP_NITRIC_OXIDE_METABOLISM_IN_CYSTIC_FIBROSIS","CARM1"
"WP_NITRIC_OXIDE_METABOLISM_IN_CYSTIC_FIBROSIS","DDAH1"
"WP_NITRIC_OXIDE_METABOLISM_IN_CYSTIC_FIBROSIS","DDAH2"
"WP_NITRIC_OXIDE_METABOLISM_IN_CYSTIC_FIBROSIS","NOS1"
"WP_NITRIC_OXIDE_METABOLISM_IN_CYSTIC_FIBROSIS","NOS2"
"WP_NITRIC_OXIDE_METABOLISM_IN_CYSTIC_FIBROSIS","NOS3"
"WP_NITRIC_OXIDE_METABOLISM_IN_CYSTIC_FIBROSIS","PRMT1"
"WP_NITRIC_OXIDE_METABOLISM_IN_CYSTIC_FIBROSIS","PRMT2"
"WP_NITRIC_OXIDE_METABOLISM_IN_CYSTIC_FIBROSIS","PRMT3"
"WP_NITRIC_OXIDE_METABOLISM_IN_CYSTIC_FIBROSIS","PRMT5"
"WP_NITRIC_OXIDE_METABOLISM_IN_CYSTIC_FIBROSIS","PRMT6"
"WP_NITRIC_OXIDE_METABOLISM_IN_CYSTIC_FIBROSIS","PRMT7"
"WP_NITRIC_OXIDE_METABOLISM_IN_CYSTIC_FIBROSIS","PRMT8"
