held_out_inner_study,balanced_accuracy,sensitivity,specificity,precision,roc_auc,n_validation,candidate_c,candidate_l1_ratio,candidate_param_label,panel_name,outer_held_out_study
GSE138239,1.0,1.0,1.0,1.0,1.0,15,100.0,0.75,"C=100, l1_ratio=0.75",top_10,GSE213001
GSE184316,0.5,0.0,1.0,,0.95,16,100.0,0.75,"C=100, l1_ratio=0.75",top_10,GSE213001
GSE199949,0.9444444444444444,0.8888888888888888,1.0,1.0,1.0,34,100.0,0.75,"C=100, l1_ratio=0.75",top_10,GSE213001
mean,0.7361111111111112,,,,,74,100.0,0.75,"C=100, l1_ratio=0.75",top_10,GSE213001
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,0.01,0.25,"C=0.01, l1_ratio=0.25",top_10,GSE138239
GSE213001,0.9710504549214227,0.967741935483871,0.9743589743589743,0.9836065573770492,0.998759305210918,101,0.01,0.25,"C=0.01, l1_ratio=0.25",top_10,GSE138239
GSE184316,0.5,0.0,1.0,,1.0,16,0.01,0.25,"C=0.01, l1_ratio=0.25",top_10,GSE138239
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,0.01,0.25,"C=0.01, l1_ratio=0.25",top_10,GSE138239
mean,0.7858181692859112,,,,,160,0.01,0.25,"C=0.01, l1_ratio=0.25",top_10,GSE138239
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,0.1,0.25,"C=0.1, l1_ratio=0.25",top_10,GSE138239
GSE213001,1.0,1.0,1.0,1.0,1.0,101,0.1,0.25,"C=0.1, l1_ratio=0.25",top_10,GSE138239
GSE184316,0.5,0.0,1.0,,1.0,16,0.1,0.25,"C=0.1, l1_ratio=0.25",top_10,GSE138239
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,0.1,0.25,"C=0.1, l1_ratio=0.25",top_10,GSE138239
mean,0.7930555555555556,,,,,160,0.1,0.25,"C=0.1, l1_ratio=0.25",top_10,GSE138239
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,1.0,0.25,"C=1, l1_ratio=0.25",top_10,GSE138239
GSE213001,1.0,1.0,1.0,1.0,1.0,101,1.0,0.25,"C=1, l1_ratio=0.25",top_10,GSE138239
GSE184316,0.5,0.0,1.0,,1.0,16,1.0,0.25,"C=1, l1_ratio=0.25",top_10,GSE138239
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,1.0,0.25,"C=1, l1_ratio=0.25",top_10,GSE138239
mean,0.7930555555555556,,,,,160,1.0,0.25,"C=1, l1_ratio=0.25",top_10,GSE138239
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,10.0,0.25,"C=10, l1_ratio=0.25",top_10,GSE138239
GSE213001,1.0,1.0,1.0,1.0,1.0,101,10.0,0.25,"C=10, l1_ratio=0.25",top_10,GSE138239
GSE184316,0.5,0.0,1.0,,1.0,16,10.0,0.25,"C=10, l1_ratio=0.25",top_10,GSE138239
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,10.0,0.25,"C=10, l1_ratio=0.25",top_10,GSE138239
mean,0.7930555555555556,,,,,160,10.0,0.25,"C=10, l1_ratio=0.25",top_10,GSE138239
GSE73189,0.6,1.0,0.2,0.5,0.7,9,100.0,0.25,"C=100, l1_ratio=0.25",top_10,GSE138239
